"Site","Prediction"
1,17.5292
2,17.402
3,18.1448
4,36.7392
5,33.8392
6,27.0568
7,25.352
8,23.398
9,42.3136
10,37.0132
11,16.6876
12,9.19
13,8.1756
14,14.1164
15,22.1748
16,31.4036
17,16.412
18,29.0088
19,31.4544
20,43.7704
21,43.0348
22,38.7448
23,46.8816
24,29.2132
25,38.8592
26,44.8204
27,36.9576
28,38.4196
29,48.4168
30,39.9792
31,43.796
32,43.754
33,38.8532
34,32.3776
35,44.132
36,38.674
37,45.1056
38,35.0108
39,35.594
40,40.3824
41,38.798
42,40.1776
43,25.3648
44,31.2492
45,39.8484
46,38.104
47,33.5332
48,33.7684
49,40.6812
50,25.2756
51,37.3116
52,33.764
53,35.1448
54,34.5348
55,6.7948
56,37.0844
57,33.9776
58,35.7684
59,32.052
60,25.196
61,20.9248
62,25.1344
63,21.8864
64,25.2284
65,32.904
66,28.2624
67,9.0872
68,26.2052
69,22.3288
70,29.6184
71,21.3796
72,28.0804
73,30.4496
74,39.6664
75,19.5728
76,23.8292
77,26.604
78,27.2176
79,30.9816
80,26.8264
81,20.5716
82,23.9192
83,26.5012
84,26.0592
85,19.2056
86,20.326
87,28.8172
88,20.4204
89,44.3612
90,45.5368
91,23.2728
92,75.054
93,30.4572
94,63.328
95,74
96,73.8144
97,43.22
98,35.44
99,30.9188
100,43.4912
101,9.4448
102,16.9684
103,79.4604
104,27.4412
105,7.792
106,76.0872
107,3.9876
108,25.4452
109,30.3376
110,34.8532
111,32.2312
112,10.0676
113,28.1932
114,21.7368
115,77.7484
116,79.2824
117,26.8264
118,76.5272
119,28.8752
120,69.5608
121,71.1004
122,29.9544
123,25.9176
124,70.5896
125,65.494
126,8.6944
127,72.286
128,27.63
129,23.542
130,70.5912
131,31.2672
132,36.206
133,61.012
134,28.1608
135,76.5628
136,39.576
137,27.3968
138,25.9712
139,41.9116
140,4.9368
141,29.5932
142,81.4544
143,82.8296
144,76.2084
145,31.8264
146,38.2072
147,69.5328
148,73.9096
149,27.4668
150,62.4436
151,31.3476
152,52.6388
153,77.7172
154,75.356
155,6.8248
156,24.1912
157,22.2596
158,78.5964
159,7.5092
160,43.8172
161,27.6216
162,76.9572
163,26.9404
164,30.2096
165,38.122
166,44.9156
167,77.9972
168,39.578
169,18.0836
170,49.4836
171,24.8408
172,32.3556
173,77.9608
174,48.4264
175,20.3612
176,78.6276
177,4.2556
178,75.072
179,79.078
180,73.248
181,70.7396
182,76.5136
183,26.4716
184,34.596
185,54.7348
186,31.3656
187,40.9976
188,25.3912
189,76.01
190,73.4072
191,78.3248
192,33.5184
193,79.022
194,22.79
195,47.6632
196,25.1244
197,78.094
198,58.092
199,43.8508
200,77.1024
201,48.1644
202,25.7236
203,79.2392
204,30.8492
205,47.8792
206,80.028
207,48.9932
208,73.906
209,79.658
210,45.8144
211,50.3416
212,24.308
213,40.7268
214,77.2304
215,79.568
216,78.4676
217,38.472
218,47.5168
219,38.9268
220,26.0444
221,68.44
222,21.1632
223,39.6152
224,32.4768
225,80.3008
226,72.7596
227,25.0428
228,34.1384
229,24.2288
230,78.33
231,33.1388
232,47.2572
233,29.968
234,93.5732
235,44.2072
236,88.2028
237,45.622
238,7.9824
239,76.7728
240,28.7148
241,27.4588
242,27.0736
243,4.0956
244,75.6136
245,26.112
246,56.5308
247,72.4968
248,22.518
249,83.5104
250,35.3144
251,19.9464
252,24.166
253,40.5656
254,82.28
255,77.56
256,68.5556
257,43.4724
258,44.4732
259,5.662
260,37.344
261,74.3792
262,38.0824
263,29.7648
264,39.9712
265,70.428
266,74.4376
267,76.2064
268,31.7088
269,38.748
270,24.9244
271,33.4308
272,4.8868
273,76.2112
274,72.1216
275,73.1536
276,11.8852
277,26.2904
278,33.3972
279,26.5316
280,38.5268
281,74.0632
282,43.684
283,79.3852
284,23.9836
285,29.472
286,31.5192
287,34.1788
288,43.5988
289,15.6276
290,68.338
291,75.6404
292,80.0504
293,27.3348
294,8.1936
295,48.0948
296,18.038
297,34.0296
298,25.662
299,73.194
300,86.4988
301,61.7908
302,72.9544
303,76.0524
304,42.184
305,24.912
306,86.5416
307,23.4964
308,47.4964
309,25.2136
310,86.282
311,85.4756
312,86.3816
313,23.4084
314,6.5928
315,22.8148
316,42.3372
317,85.116
318,35.1668
319,24.2976
320,32.0436
321,30.72
322,86.6376
323,44.4456
324,42.24
325,85.3824
326,44.4912
327,29.6728
328,60.8328
329,25.188
330,22.212
331,85.2884
332,40.6836
333,78.032
334,6.7308
335,32.9532
336,22.5232
337,38.1756
338,5.288
339,37.9384
340,78.2728
341,29.3948
342,30.1392
343,41.2512
344,20.158
345,45.6808
346,23.676
347,30.0464
348,29.9364
349,46.32
350,45.7268
351,46.8076
352,34.6124
353,58.9924
354,5.3644
355,43.6148
356,49.4072
357,81.4272
358,17.3704
359,46.664
360,49.8736
361,43.516
362,33.8456
363,30.6348
364,35.3004
365,44.7284
366,48.826
367,59.2088
368,16.1672
369,1.63
370,33.1832
371,2.62
372,26.3084
373,19.608
374,41.6176
375,40.914
376,24.0444
377,49.5312
378,46.4756
379,52.7704
380,47.6988
381,48.5892
382,5.8456
383,12.5056
384,38.0132
385,6.566
386,39.9336
387,4.452
388,6.9812
389,69.4852
390,43.6108
391,45.0612
392,50.934
393,24.728
394,6.5608
395,15.1076
396,27.612
397,53.9
398,63.3672
399,31.5036
400,66.1576
401,33.518
402,24.1472
403,27.628
404,50.1616
405,9.064
406,38.2616
407,23.4052
408,38.5948
409,27.9012
410,34.3296
411,45.7932
412,47.1684
413,43.274
414,49.1416
415,38.5436
416,23.4956
417,67.4616
418,38.6152
419,50.9732
420,46.3984
421,42.3784
422,43.7984
423,12.7016
424,34.4436
425,25.462
426,31.7648
427,42.3808
428,39.8132
429,33.9364
430,48.1744
431,41.0488
432,44.8032
433,22.2396
434,30.076
435,66.1504
436,21.1568
437,34.3416
438,68.9596
439,22.606
440,39.8912
441,22.2732
442,24.9604
443,30.7296
444,33.218
445,30.1344
446,30.12
447,23.5892
448,66.8568
449,28.2552
450,37.5216
451,58.6432
452,41.3468
453,26.684
454,44.978
455,30.0496
456,67.0348
457,26.5608
458,10.9792
459,29.1508
460,28.0484
461,27.648
462,44.4304
463,32.968
464,61.5176
465,67.0936
466,28.38
467,68.3352
468,46.4644
469,23.5096
470,33.3224
471,50.8536
472,4.3664
473,33.6088
474,74.3412
475,42.4568
476,24.2504
477,25.0904
478,33.4368
479,21.2716
480,23.9532
481,30.4556
482,36.1216
483,77.864
484,22.456
485,38.9928
486,22.5596
487,31.2104
488,24.672
489,23.8136
490,33.1172
491,29.8716
492,27.1848
493,32.092
494,38.952
495,61.908
496,26.538
497,29.96
498,25.3116
499,64.4556
500,44.7636
501,24.9008
502,6.7268
503,65.0568
504,35.8416
505,29.2192
506,40.5548
507,3.9176
508,31.9184
509,52.7412
510,20.0876
511,68.5504
512,51.544
513,51.712
514,22.304
515,40.6508
516,26.8376
517,44.1412
518,47.8504
519,22.3172
520,20.84
521,22.3268
522,70.4984
523,26.5376
524,27.7916
525,28.104
526,6.8428
527,25.9144
528,26.7848
529,30.3644
530,70.2996
531,19.2248
532,25.5028
533,45.6076
534,12.574
535,75.1332
536,67.4124
537,33.0596
538,77.8328
539,25.2032
540,22.828
541,6.2512
542,25.2208
543,70.2156
544,29.5608
545,43.8912
546,49.5176
547,52.8992
548,75.7612
549,28.9072
550,43.3312
551,26.688
552,73.5896
553,11.7632
554,27.9228
555,10.92
556,41.3816
557,78.1788
558,6.2444
559,77.1292
560,72.6256
561,8.1712
562,38.1772
563,68.3712
564,75.2372
565,37.078
566,47.9396
567,23.908
568,82.8644
569,14.2816
570,47.5808
571,65.9456
572,4.4676
573,35.1672
574,31.3376
575,29.6176
576,27.0688
577,79.19
578,47.4792
579,50.852
580,36.0776
581,78.9452
582,36.5748
583,45.0324
584,44.1564
585,73.492
586,11.5112
587,22.652
588,70.9916
589,27.474
590,28.4492
591,32.9152
592,49.138
593,28.3116
594,24.742
595,35.976
596,74.3164
597,27.8452
598,25.77
599,71.5408
600,26.8204
601,30.4028
602,26.292
603,47.474
604,52.2648
605,53.0476
606,30.09
607,43.5748
608,32.9028
609,53.1704
610,44.112
611,75.4536
612,28.2944
613,4.8464
614,45.1504
615,45.1508
616,31.4796
617,29.2804
618,3.8604
619,27.6624
620,40.3672
621,37.93
622,78.1568
623,9.344
624,42.65
625,40.8604
626,29.7804
627,73.2624
628,36.5592
629,44.6048
630,44.118
631,34.2212
632,73.8784
633,41.5316
634,70.368
635,74.2632
636,30.26
637,80.61
638,23.9984
639,28.6204
640,33.41
641,41.2412
642,45.3848
643,47.7288
644,28.7476
645,42.7484
646,8.454
647,78.9768
648,44.8768
649,65.2764
650,29.0512
651,39.8528
652,63.6376
653,29.62
654,28.9868
655,41.5228
656,58.7284
657,75.4396
658,66.4696
659,64.9388
660,34.0552
661,7.5376
662,22.9172
663,74.9732
664,6.9336
665,42.1544
666,37.4528
667,25.9044
668,38.7564
669,72.316
670,36.1228
671,31.5936
672,67.422
673,26.0348
674,27.9936
675,25.3616
676,36.3984
677,41.5064
678,41.3012
679,71.878
680,36.11
681,26.7708
682,53.22
683,74.7648
684,73.1176
685,10.0172
686,78.4608
687,30.8748
688,68.4468
689,75.9592
690,71.9112
691,76.4244
692,72.8188
693,73.046
694,26.6036
695,44.4684
696,29.9448
697,56.7196
698,22.8088
699,75.674
700,79.504
701,32.0576
702,31.5888
703,11.19
704,25.11
705,29.5564
706,35.6352
707,28.1136
708,45.164
709,70.6964
710,28.7336
711,73.808
712,69.2628
713,43.5496
714,27.7944
715,28.3864
716,20.6204
717,30.4708
718,44.4972
719,30.9356
720,46.6228
721,25.2228
722,29.8212
723,26.6348
724,72.6224
725,32.5352
726,71.3796
727,76.9096
728,32.172
729,41.94
730,42.2572
731,37.4364
732,49.6636
733,43.6188
734,4.3752
735,45.3468
736,32.7824
737,25.9608
738,34.9916
739,38.1984
740,68.8184
741,26.0944
742,54.9052
743,81.9016
744,85.5376
745,24.7264
746,83.9432
747,35.4188
748,33.2868
749,82.9516
750,77.8608
751,76.9816
752,40.7888
753,31.3336
754,76.3008
755,31.7496
756,38.9104
757,43.528
758,34.184
759,82.8468
760,48.278
761,83.326
762,8.3096
763,4.8112
764,75.2572
765,30.3156
766,74.2144
767,58.856
768,31.574
769,28.4176
770,34.4908
771,40.344
772,36.3184
773,33.2612
774,32.7884
775,31.7624
776,33.4812
777,77.756
778,32.0868
779,77.4612
780,73.202
781,27.2508
782,75.0344
783,59.3316
784,66.3428
785,40.9556
786,73.1372
787,75.0856
788,33.4232
789,27.7396
790,31.934
791,72.498
792,26.5636
793,74.5488
794,78.7168
795,69.2444
796,48.6828
797,47.0364
798,30.0988
799,29.426
800,75.8476
801,53.4956
802,32.8524
803,30.4
804,22.9828
805,30.7848
806,44.05
807,7.5768
808,71.8544
809,81.1844
810,25.5088
811,51.3756
812,42.4544
813,26.1976
814,35.848
815,49.3224
816,78.4532
817,29.0896
818,7.3956
819,24.162
820,80.6392
821,28.0512
822,79.1536
823,54.3048
824,75.9788
825,31.5324
826,73.2396
827,54.8436
828,10.2852
829,31.1372
830,75.0244
831,65.8904
832,30.6712
833,31.7944
834,3.4852
835,5.218
836,7.8728
837,76.0696
838,72.9236
839,30.8872
840,43.9584
841,41.7952
842,79.56
843,39.1336
844,7.428
845,29.6552
846,28.348
847,3.3492
848,25.4884
849,79.0248
850,10.8832
851,82.6896
852,41.3132
853,30.7
854,84.8868
855,45.754
856,46.2132
857,31.548
858,37.1092
859,40.934
860,47.7044
861,30.1072
862,7.7136
863,41.6444
864,38.2488
865,77.6068
866,85.2748
867,77.0544
868,82.8196
869,46.7852
870,29.3008
871,26.0144
872,25.6772
873,36.4312
874,47.5312
875,32.5496
876,72.5028
877,19.324
878,79.164
879,72.694
880,43.786
881,48.0084
882,23.5408
883,81.1932
884,40.4248
885,30.8104
886,36.158
887,22.6004
888,53.2896
889,45.824
890,42.5864
891,35.6632
892,73.5156
893,75.0096
894,34.1256
895,37.1088
896,47.58
897,62.0332
898,56.8268
899,45.7876
900,8.814
901,45.9012
902,45.2396
903,35.1628
904,37.6668
905,22.836
906,4.04
907,40.0128
908,75.2452
909,77.3464
910,30.3264
911,47.9792
912,34.0988
913,22.9492
914,59.3788
915,32.3844
916,18.2592
917,35.022
918,16.4044
919,30.7268
920,46.3672
921,33.1356
922,48.7248
923,34.9608
924,45.7632
925,48.7532
926,74.8244
927,4.5116
928,16.9852
929,40.6904
930,6.57
931,48.9076
932,25.092
933,39.1612
934,75.532
935,73.1868
936,33.814
937,34.7316
938,36.4032
939,46.9464
940,36.882
941,41.2412
942,37.4188
943,36.2852
944,36.1856
945,45.9192
946,23.0276
947,39.5356
948,33.8232
949,24.6844
950,81.1564
951,34.0852
952,21.7856
953,17.0616
954,34.7444
955,73.5516
956,35.1132
957,41.4148
958,29.102
959,40.3796
960,24.1612
961,43.3456
962,80.3464
963,25.4984
964,24.22
965,35.2628
966,45.4992
967,49.9492
968,47.1248
969,46.9464
970,51.8176
971,73.5896
972,42.3236
973,37.9352
974,36.6824
975,76.2476
976,25.7176
977,33.0148
978,70.7988
979,20.7428
980,83.1236
981,38.9728
982,39.7424
983,66.1048
984,6.4416
985,23.0876
986,29.592
987,76.5684
988,87.1448
989,29.3808
990,60.6508
991,41.154
992,7.2444
993,79.4856
994,87.072
995,29.3904
996,42.2228
997,28.2748
998,50.7196
999,7.2224
1000,57.9568
1001,72.102
1002,21.6444
1003,27.316
1004,41.2256
1005,36.5528
1006,7.8552
1007,25.8984
1008,39.9888
1009,30.022
1010,76.8556
1011,36.7356
1012,66.8564
1013,85.2408
1014,43.7236
1015,27.4272
1016,38.6984
1017,24.5004
1018,37.6048
1019,25.2428
1020,21.5316
1021,29.4784
1022,19.73
1023,28.036
1024,27.6568
1025,27.8576
1026,38.5992
1027,24.8648
1028,43.174
1029,28.1192
1030,79.0388
1031,65.7892
1032,41.3364
1033,84.1888
1034,24.3224
1035,39.9408
1036,60.5712
1037,85.8292
1038,77.8172
1039,56.9144
1040,72.0796
1041,28.5468
1042,50.9756
1043,25.6948
1044,82.792
1045,42.5212
1046,26.07
1047,17.0884
1048,34.7996
1049,27.448
1050,38.4724
1051,34.5656
1052,32.3716
1053,7.1984
1054,29.7968
1055,21.6996
