"Site","Prediction"
1,2.09426
2,1.210152
3,5.83176
4,1.239328
5,1.429576
6,0.699136
7,2.509824
8,3.201328
9,0.967336
10,0.41868
11,1.269184
12,6.390328
13,8.86022
14,4.104912
15,3.954496
16,0.7591
17,13.114184
18,14.438084
19,1.837472
20,1.396132
21,1.798432
22,8.261388
23,6.594828
24,9.640848
25,11.630768
26,9.532688
27,1.517724
28,1.301192
29,2.275384
30,7.6917
31,1.792424
32,1.455672
33,1.482944
34,1.3792
35,2.414088
36,1.435716
37,1.610908
38,0.67034
39,2.893624
40,1.200432
41,1.254144
42,1.787448
43,2.416116
44,2.708512
45,1.48262
46,1.307164
47,3.431096
48,3.23676
49,2.166796
50,2.597188
51,1.902092
52,4.274632
53,3.739164
54,1.539844
55,2.157644
56,3.931872
57,1.3802
58,3.213444
59,3.035172
60,4.350608
61,1.876916
62,11.17844
63,4.290696
64,5.0015
65,2.423896
66,3.854016
67,1.752968
68,2.842948
69,6.170316
70,16.704412
71,3.402808
72,2.486748
73,4.134716
74,2.878272
75,4.348688
76,2.925076
77,2.234588
78,13.057444
79,2.754124
80,18.333332
81,4.983052
82,14.793328
83,4.279348
84,3.927532
85,13.330372
86,11.212208
87,2.484896
88,12.015824
89,3.994612
90,1.275052
91,4.099016
92,0.64408
93,1.705872
94,1.018836
95,2.027812
96,2.02884
97,0.968656
98,2.599056
99,3.042536
100,2.531872
101,2.341696
102,8.385284
103,2.525036
104,3.970056
105,4.009476
106,3.543048
107,8.008708
108,2.885148
109,2.205224
110,5.810496
111,4.494636
112,1.719592
113,20.651684
114,3.282508
115,3.315312
116,0.665056
117,2.744448
118,4.888692
119,2.623364
120,3.250944
121,3.491956
122,2.465556
123,3.237464
124,3.895136
125,2.018072
126,3.002304
127,3.564956
128,1.906152
129,2.458492
130,3.86462
131,3.61884
132,3.3331
133,2.048228
134,1.814928
135,1.969724
136,4.32752
137,2.058812
138,4.68062
139,2.811072
140,5.814056
141,3.973448
142,2.574392
143,2.954816
144,1.440164
145,2.441872
146,1.123476
147,2.385096
148,2.767536
149,2.293508
150,2.203248
151,3.232788
152,0.976328
153,2.036068
154,2.771896
155,3.05324
156,3.889016
157,2.602924
158,6.229184
159,2.179676
160,6.027792
161,14.871832
162,4.538908
163,3.1289
164,2.255224
165,3.226592
166,7.89106
167,6.392384
168,2.993796
169,17.005476
170,3.424696
171,5.030044
172,7.030472
173,4.99122
174,12.084344
175,2.44058
176,4.884616
177,8.570212
178,7.252964
179,8.46288
180,4.084772
181,2.723136
182,3.93864
183,4.591044
184,10.170892
185,9.884444
186,15.043808
187,2.976824
188,3.45846
189,5.617476
190,5.78474
191,2.793724
192,6.910708
193,4.757852
194,8.286952
195,4.882988
196,3.734796
197,4.87982
198,8.398648
199,3.424864
200,4.833012
201,7.72204
202,4.881592
203,2.372204
204,13.044748
205,7.956604
206,4.709556
207,3.443232
208,7.85908
209,3.344916
210,8.85508
211,6.153676
212,5.434212
213,3.046592
214,3.670372
215,5.001808
216,5.023096
217,4.730144
218,4.289468
219,13.535432
220,3.533864
221,4.404448
222,2.460108
223,10.021224
224,4.807668
225,4.491728
226,3.397196
227,4.8395
228,5.410064
229,2.358636
230,9.354108
231,7.864644
232,4.30204
233,4.671352
234,6.666848
235,5.824604
236,7.446952
237,11.080928
238,2.839968
239,8.332188
240,9.159792
241,1.396156
242,11.24042
243,3.468748
244,4.0773
245,1.655488
246,7.511264
247,6.057532
248,2.016836
249,8.070436
250,4.932696
251,11.63038
252,4.675136
253,7.908588
254,6.502228
255,6.592328
256,5.447768
257,12.50478
258,12.206176
259,3.933228
260,2.735344
261,1.931576
262,5.658104
263,5.943992
264,24.13288
265,4.272296
266,3.96844
267,5.288328
268,5.022304
