Model,Mean_RMSE,Std_RMSE
KNN,22.46571206464601,20.61974251779374
ExtraTrees,23.474770193764815,21.780230762745813
SVR,23.926572281942107,18.443101182893407
XGBoost,24.11043978871631,20.019453464708917
RandomForest,24.26124827843378,21.621174298834468
LightGBM,24.272971725737847,19.852649850182196
GradientBoosting,25.205065289114522,20.64482708089766
Lasso,26.255076542214493,17.811832011946365
Ridge,26.518112836873552,17.772412299584207
LinearRegression,26.527508917964298,17.7708536524686
