"Site","Prediction"
1,3.761036
2,2.017872
3,9.877556
4,1.657672
5,2.131332
6,0.8039
7,5.773212
8,4.616944
9,1.032568
10,1.124764
11,1.599756
12,6.844536
13,10.683368
14,7.183156
15,7.549124
16,0.844424
17,14.117912
18,26.264624
19,2.407044
20,1.714016
21,2.467208
22,20.604256
23,15.998428
24,19.52124
25,21.660696
26,21.758784
27,1.867888
28,1.946496
29,2.988532
30,19.060372
31,2.584876
32,1.890308
33,1.688564
34,1.856444
35,2.49254
36,2.238404
37,1.784628
38,1.594108
39,2.787228
40,3.186084
41,1.965692
42,1.785892
43,4.718076
44,3.370268
45,1.645108
46,2.081448
47,6.152228
48,4.853716
49,3.864108
50,1.67312
51,3.778652
52,4.236756
53,4.693788
54,2.898996
55,1.80656
56,6.795556
57,1.3247
58,5.16382
59,2.95006
60,6.861624
61,2.295572
62,22.615192
63,7.251416
64,5.708352
65,2.180076
66,3.914052
67,2.147168
68,5.73242
69,9.555908
70,26.59376
71,4.165776
72,2.067432
73,5.883216
74,3.670384
75,3.521484
76,5.679852
77,3.715604
78,20.784132
79,3.110792
80,29.429564
81,7.096416
82,24.607592
83,2.851604
84,4.750472
85,16.861672
86,16.789276
87,4.314884
88,18.663588
89,4.810856
90,2.357192
91,6.058604
92,2.005992
93,2.500208
94,1.78848
95,2.1673
96,1.05384
97,2.055992
98,3.422108
99,2.253484
100,2.764828
101,2.836844
102,13.26912
103,3.44098
104,4.53736
105,4.962584
106,11.0678
107,12.34436
108,2.4456
109,1.53108
110,10.113228
111,8.886608
112,0.344624
113,39.115652
114,4.178856
115,3.547536
116,0.729044
117,2.985228
118,3.57156
119,2.880364
120,3.01742
121,5.897408
122,2.841156
123,3.807156
124,1.915664
125,2.314612
126,4.016068
127,2.459596
128,2.266296
129,3.102444
130,5.590292
131,7.02044
132,6.442132
133,2.494556
134,1.287444
135,2.530852
136,4.847764
137,2.410352
138,12.662936
139,3.623256
140,11.37686
141,3.131296
142,2.76348
143,1.841076
144,1.209236
145,2.586556
146,0.714524
147,1.579912
148,1.684568
149,2.920316
150,3.256568
151,4.219616
152,1.258156
153,3.041256
154,3.656708
155,3.31584
156,11.034272
157,4.0973
158,8.844348
159,3.327036
160,3.980192
161,28.397232
162,5.386288
163,6.076312
164,2.643852
165,2.068436
166,9.690936
167,8.744076
168,2.457188
169,33.047748
170,4.829428
171,9.155476
172,8.90798
173,7.659136
174,14.336248
175,3.9001
176,6.467532
177,7.603484
178,7.561196
179,8.566604
180,3.48568
181,4.323676
182,2.721952
183,10.825228
184,14.364952
185,12.841
186,22.643428
187,5.285724
188,5.05514
189,7.108796
190,6.883724
191,3.084128
192,15.091916
193,10.394336
194,15.580888
195,8.614636
196,6.12638
197,7.885928
198,10.103712
199,5.709172
200,5.451888
201,10.640608
202,8.952472
203,2.950984
204,16.580808
205,10.156516
206,5.001668
207,2.93906
208,7.678288
209,5.545276
210,10.371708
211,7.21716
212,8.562804
213,2.343296
214,8.606544
215,4.807868
216,5.576968
217,2.748108
218,6.776284
219,16.457508
220,4.5207
221,6.883636
222,2.949104
223,17.89414
224,7.448596
225,5.770684
226,4.455844
227,8.513308
228,8.496612
229,2.22344
230,9.636568
231,9.652096
232,4.586744
