"Site","Prediction"
1,65.865248
2,111.815028
3,1.844492
4,101.804468
5,51.583556
6,54.76272
7,30.54822
8,70.280608
9,75.695316
10,100.573268
11,30.618644
12,2.591636
13,2.9823
14,95.15218
15,136.853832
16,121.89498
17,2.63274
18,2.161804
19,59.047528
20,79.744528
21,129.497068
22,2.128504
23,1.882372
24,2.323396
25,2.085092
26,2.10124
27,115.7214
28,73.270868
29,68.199344
30,2.195812
31,80.368864
32,44.710412
33,101.295644
34,72.608744
35,108.615332
36,108.998904
37,2.426188
38,51.211452
39,80.795136
40,16.294992
41,107.906448
42,101.670632
43,94.712712
44,31.388276
45,65.181168
46,72.5058
47,71.981528
48,115.452564
49,107.832252
50,80.560932
51,51.979376
52,59.025944
53,94.612528
54,101.47314
55,150.854052
56,115.352972
57,65.437076
58,100.791048
59,94.208052
60,92.1392
61,58.330728
62,1.686824
63,87.087032
64,87.31328
65,52.309416
66,44.277552
67,170.8997
68,101.331988
69,108.647824
70,2.369984
71,88.669944
72,86.178092
73,87.113496
74,108.278396
75,58.21072
76,115.235664
77,44.422168
78,1.875908
79,66.14376
80,1.908672
81,95.55042
82,2.149024
83,86.549964
84,101.030052
85,2.224224
86,2.26006
87,136.718656
88,2.018124
89,33.932464
90,73.487524
91,108.856212
92,73.83472
93,130.305372
94,93.23248
95,50.531136
96,57.423856
97,22.017788
98,93.237604
99,108.147936
100,44.308248
101,164.803496
102,2.171488
103,83.958716
104,72.62136
105,169.746888
106,2.264256
107,1.723688
108,129.000804
109,114.737716
110,37.543668
111,107.262676
112,166.886272
113,1.965444
114,136.864384
115,21.920164
116,92.486556
117,91.010496
118,23.388864
119,86.687732
120,16.7364
121,30.9767
122,150.704808
123,86.70842
124,97.644492
125,93.717172
126,164.464108
127,29.880708
128,107.875556
129,87.105024
130,29.865384
131,58.64332
132,107.94354
133,100.527576
134,37.155332
135,22.901328
136,58.978948
137,108.199292
138,65.541592
139,60.219272
140,0.997276
141,61.87798
142,39.50008
