KNN_Weight,RMSE,R2
0.0,0.9314331935252791,0.6955027694273643
0.01,0.9309628163325093,0.6958102362173502
0.02,0.9305097722404663,0.6961062262196038
0.03,0.9300740865782899,0.6963907394341255
0.04,0.929655783751204,0.6966637758609153
0.05,0.9292548872337879,0.6969253354999729
0.06,0.9288714195634848,0.6971754183512986
0.07,0.9285054023343516,0.6974140244148923
0.08,0.9281568561910525,0.6976411536907541
0.09,0.9278258008231013,0.6978568061788838
0.1,0.9275122549593562,0.6980609818792816
0.11,0.9272162363627695,0.6982536807919473
0.12,0.9269377618253978,0.6984349029168809
0.13,0.9266768471636733,0.6986046482540826
0.14,0.9264335072139409,0.6987629168035523
0.15,0.9262077558282642,0.6989097085652901
0.16,0.925999605870502,0.6990450235392958
0.17,0.9258090692126588,0.6991688617255696
0.18,0.9256361567315117,0.6992812231241112
0.19,0.9254808783055146,0.699382107734921
0.2,0.9253432428119844,0.6994715155579987
0.21,0.9252232581245677,0.6995494465933445
0.22,0.9251209311109934,0.6996159008409581
0.23,0.9250362676311082,0.6996708783008398
0.24,0.9249692725352019,0.6997143789729896
0.25,0.9249199496626174,0.6997464028574074
0.26,0.9248883018406527,0.6997669499540932
0.27,0.9248743308837494,0.6997760202630469
0.28,0.924878037592973,0.6997736137842687
0.29,0.9248994217557843,0.6997597305177583
0.3,0.9249384821460984,0.6997343704635162
0.31,0.9249952165246381,0.6996975336215419
0.32,0.9250696216395741,0.6996492199918356
0.33,0.9251616932274578,0.6995894295743974
0.34,0.9252714260144412,0.699518162369227
0.35000000000000003,0.9253988137177874,0.6994354183763248
0.36,0.9255438490476654,0.6993411975956906
0.37,0.925706523709235,0.6992355000273243
0.38,0.9258868284050132,0.6991183256712261
0.39,0.9260847528375259,0.6989896745273958
0.4,0.9263002857122401,0.6988495465958335
0.41000000000000003,0.9265334147407763,0.6986979418765393
0.42,0.9267841266443971,0.6985348603695131
0.43,0.9270524071577734,0.6983603020747549
0.44,0.9273382410330199,0.6981742669922646
0.45,0.9276416120440034,0.6979767551220424
0.46,0.9279625029909176,0.6977677664640882
0.47000000000000003,0.9283008957051209,0.6975473010184019
0.48,0.9286567710542359,0.6973153587849836
0.49,0.9290301089475081,0.6970719397638334
0.5,0.9294208883414161,0.6968170439549511
0.51,0.9298290872455348,0.6965506713583369
0.52,0.9302546827286446,0.6962728219739907
0.53,0.9306976509250827,0.6959834958019124
0.54,0.9311579670413351,0.6956826928421023
0.55,0.9316356053628622,0.6953704130945599
0.56,0.9321305392611541,0.6950466565592859
0.5700000000000001,0.9326427412010145,0.6947114232362797
0.58,0.9331721827480632,0.6943647131255413
0.59,0.9337188345764563,0.6940065262270712
0.6,0.9342826664768196,0.6936368625408689
0.61,0.9348636473643873,0.6932557220669346
0.62,0.9354617452873444,0.6928631048052685
0.63,0.9360769274353642,0.6924590107558702
0.64,0.9367091601483405,0.6920434399187401
0.65,0.9373584089253031,0.6916163922938778
0.66,0.9380246384335174,0.6911778678812837
0.67,0.9387078125177588,0.6907278666809574
0.68,0.9394078942097568,0.6902663886928992
0.6900000000000001,0.9401248457378055,0.689793433917109
0.7000000000000001,0.9408586285365327,0.6893090023535867
0.71,0.9416092032568217,0.6888130940023325
0.72,0.9423765297758838,0.6883057088633464
0.73,0.9431605672074703,0.6877868469366282
0.74,0.9439612739122226,0.687256508222178
0.75,0.9447786075081529,0.6867146927199957
0.76,0.9456125248812496,0.6861614004300816
0.77,0.9464629821962023,0.6855966313524353
0.78,0.9473299349072395,0.6850203854870571
0.79,0.9482133377690749,0.684432662833947
0.8,0.9491131448479543,0.6838334633931047
0.81,0.9500293095327994,0.6832227871645304
0.8200000000000001,0.9509617845464402,0.6826006341482244
0.8300000000000001,0.9519105219569337,0.6819670043441861
0.84,0.9528754731889593,0.681321897752416
0.85,0.9538565890352875,0.6806653143729138
0.86,0.9548538196683161,0.6799972542056796
0.87,0.9558671146516661,0.6793177172507134
0.88,0.9568964229518362,0.6786267035080152
0.89,0.9579416929499031,0.6779242129775851
0.9,0.95900287245327,0.6772102456594229
0.91,0.9600799087074514,0.6764848015535286
0.92,0.961172748407893,0.6757478806599024
0.93,0.9622813377118185,0.6749994829785443
0.9400000000000001,0.9634056222500986,0.6742396085094542
0.9500000000000001,0.9645455471391396,0.6734682572526318
0.96,0.9657010569927805,0.6726854292080777
0.97,0.9668720959342008,0.6718911243757916
0.98,0.9680586076078267,0.6710853427557735
0.99,0.969260535191237,0.6702680843480232
1.0,0.970477821407059,0.6694393491525411
