"Site","Prediction"
1,1.751056
2,1.147496
3,2.129652
4,1.015412
5,1.128796
6,0.496728
7,2.229728
8,2.257036
9,0.93214
10,0.726288
11,1.087148
12,2.744368
13,4.886232
14,2.2878
15,2.108508
16,1.008388
17,3.849664
18,3.80586
19,1.515844
20,1.079792
21,1.414132
22,2.887576
23,1.91132
24,2.670684
25,3.184608
26,2.618484
27,1.331568
28,1.418328
29,1.153596
30,2.06496
31,1.033832
32,1.1752
33,1.01704
34,1.379572
35,1.192596
36,1.231092
37,1.655172
38,1.259504
39,1.496884
40,2.448464
41,1.6224
42,1.36406
43,2.054764
44,2.458608
45,1.408552
46,1.428544
47,1.882088
48,2.046252
49,1.758136
50,2.339892
51,1.942464
52,1.974592
53,1.947204
54,1.465528
55,0.47056
56,2.127784
57,1.49386
58,2.05484
59,2.120296
60,2.265728
61,1.332888
62,4.483984
63,3.432672
64,2.336736
65,2.629068
66,2.914372
67,1.421128
68,2.351824
69,2.719064
70,4.198388
71,2.312012
72,1.701476
73,2.21202
74,1.822936
75,2.896408
76,2.320032
77,1.136768
78,4.991012
79,1.741132
80,5.055312
81,2.602764
82,4.302556
83,2.163784
84,2.694648
85,4.392808
86,4.082668
87,1.867744
88,5.23738
89,2.400464
90,1.664684
91,2.439984
92,1.442768
93,1.549384
94,1.345692
95,1.090036
96,1.24272
97,1.062912
98,1.618188
99,1.975872
100,1.82748
101,1.903872
102,5.7351
103,2.585288
104,2.495288
105,2.015336
106,5.822064
107,3.137276
108,2.02928
109,1.864
110,4.325324
111,2.503108
112,0.558236
113,4.757528
114,1.991656
115,2.028716
116,0.577916
117,2.227432
118,2.47028
119,2.042668
120,3.017756
121,3.153596
122,1.917516
123,2.43348
124,3.06428
125,1.648168
126,2.490976
127,3.009296
128,1.649976
129,2.0103
130,3.319728
131,2.29022
132,1.839564
133,1.946912
134,1.844428
135,1.803024
136,3.486416
137,1.679484
138,2.449572
139,2.751748
140,3.228744
141,2.623308
142,2.5447
143,2.466912
144,1.005516
145,2.024224
146,0.923104
147,1.176676
148,2.141748
149,2.052048
150,1.836156
151,2.409672
152,1.81692
153,2.349056
154,2.946352
155,2.118604
156,2.447952
157,2.382344
158,6.467008
159,1.312024
160,3.5589
161,3.496316
162,4.414648
163,1.786816
164,2.14878
165,2.369224
166,4.513604
167,3.68638
168,2.065684
169,3.883092
170,2.60678
171,2.884044
172,3.625284
173,5.456456
174,7.376644
175,2.030864
176,3.505872
177,4.2888
178,5.303684
179,5.73712
180,3.54112
181,4.940636
182,3.244928
183,2.205116
184,6.369704
185,5.75904
186,8.195528
187,2.568584
188,2.273832
189,4.690128
190,6.7804
191,4.643992
192,3.519672
193,5.535188
194,3.422112
195,4.05188
196,2.395548
197,4.775204
198,4.685396
199,3.167668
200,5.334872
201,4.763392
202,2.49242
203,3.78342
204,5.120752
205,3.368936
206,3.570424
207,2.259856
208,6.069248
209,4.7634
210,5.216328
211,3.146252
212,3.23028
213,2.042484
214,7.208904
215,6.598324
216,4.841212
217,3.248244
218,2.847528
219,8.100216
220,1.789924
221,4.423552
222,1.968456
223,3.47862
224,2.372532
225,6.423128
226,3.70022
227,2.53904
228,5.250252
229,2.018976
230,5.877776
231,4.191136
232,2.71862
233,2.503108
234,2.822632
235,4.175784
236,5.644996
237,5.239336
238,2.15452
239,5.905188
240,5.181988
241,1.446312
242,5.788288
243,1.129764
244,3.323664
245,1.600028
246,4.759148
247,4.664552
248,1.867696
249,5.68348
250,3.12838
251,6.242728
252,2.292428
253,4.12242
254,5.31072
255,5.168344
256,4.71812
257,5.917504
258,5.612292
259,2.16196
260,1.826692
261,2.711816
262,5.619648
263,4.25178
264,25.66104
265,2.867716
266,5.994676
267,3.384036
268,3.208908
269,29.067532
270,3.112408
271,2.228628
272,4.107936
273,6.309044
274,5.6576
275,6.298148
276,8.675092
277,2.744028
278,2.763524
279,2.713224
280,4.85956
281,3.212316
282,5.343632
283,6.953788
284,34.527052
285,3.090904
286,2.267796
287,3.763052
288,25.78536
289,13.870188
290,1.909608
291,4.603104
292,6.559696
293,1.72104
294,0.603864
295,3.53506
296,3.379344
297,2.033952
298,3.269636
299,1.764132
300,6.276552
301,6.129376
302,4.040868
303,6.78996
304,7.638952
305,2.607896
306,5.507148
307,2.328552
308,5.355524
309,2.516348
310,5.619832
311,5.748908
312,5.551936
313,4.066076
314,2.205488
315,6.19564
316,2.231456
317,6.007172
318,2.397472
319,2.17284
320,3.893772
321,2.91514
322,6.470668
323,19.233544
324,1.334484
325,4.540836
326,31.638184
327,5.50612
328,3.701392
329,3.211624
330,3.03204
331,4.305356
332,1.708916
333,4.840524
334,25.522048
335,2.585708
336,1.901376
337,3.598768
338,2.438412
339,2.595836
340,4.651136
341,6.828812
342,5.553812
343,26.335108
344,6.721644
345,0.696628
346,2.317504
347,5.439968
348,5.624148
349,7.293448
350,16.1896
351,29.692628
352,4.178728
353,1.531752
354,0.60208
355,19.943076
356,3.43286
357,2.527724
358,18.394988
359,33.207416
360,32.716168
361,2.453588
362,8.233644
363,2.861412
364,4.295384
365,3.745308
366,5.560684
367,2.36904
368,5.478916
