LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.1978118,0.019661212,0.09358185,0.013191398,0.47692305,0.35689047,0.39836374,0.30612245,0
6.0,0.0,0.00085870206,0.30975848,0.15737377,0.018117735,0.12535436,0.011008283,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.14179112,0.016720498,0.1287858,0.008107362,0.43076926,0.32508835,0.3312356,0.3469388,2
11.0,0.0033444816,0.0017888807,0.16333644,0.19231275,0.029415194,0.108758345,0.0064409785,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.15966737,0.027508201,0.120968826,0.011233148,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.06020067,0.0024854622,0.1951709,0.198473,0.025195975,0.13072097,0.005675422,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.19421889,0.027703634,0.10771707,0.011136403,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.17711002,0.027465252,0.08680185,0.011700211,0.46153846,0.29328623,0.3045941,0.2857143,7
6.0,0.0,0.0031104188,,0.21231152,0.039106376,0.09317208,0.004743131,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.05685619,0.001836671,,0.17802231,0.019764272,0.22015123,0.015645863,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.17661972,0.016879702,0.12636477,0.0064796736,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.18160835,0.013989516,0.08849971,0.0099436855,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.19953267,0.020479549,0.07651577,0.0118808225,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.2035005,0.020986864,0.07755862,0.012810687,0.43076926,0.32508835,0.32892802,0.30612245,13
