LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.19415799,0.025453763,0.1254726,0.015917873,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.033444814,0.00085870206,0.30975848,0.14998016,0.020284742,0.15104271,0.013403119,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.13611197,0.021146672,0.1458312,0.008949939,0.43076926,0.32508835,0.3312356,0.3469388,2
10.0,0.006688963,0.0017888807,0.16333644,0.18549366,0.028118996,0.13923466,0.008284201,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.13546477,0.030349294,0.1338176,0.010384575,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.053511705,0.0024854622,0.1951709,0.18680002,0.024502799,0.16393687,0.007092932,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.18166634,0.02771916,0.13006711,0.012652149,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.16070992,0.028838104,0.10123161,0.012961567,0.46153846,0.29328623,0.3045941,0.2857143,7
11.0,0.020066889,0.0031104188,,0.20978484,0.037684448,0.12198663,0.0063120956,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.050167225,0.001836671,,0.15082876,0.019198727,0.23750946,0.016467748,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.15980029,0.019064002,0.14712599,0.00813366,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.16729331,0.0180056,0.10147344,0.012991823,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.17772424,0.021379407,0.09370323,0.013163579,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.17801647,0.022600606,0.08995757,0.013744111,0.43076926,0.32508835,0.32892802,0.30612245,13
6.0,0.0,0.0010256612,0.16548376,0.18299365,0.029294243,0.079999216,0.015510652,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.2099948,0.024384066,0.17801017,0.013810201,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.18370828,0.036483143,0.071372695,0.01506273,0.4153846,0.2650177,0.18816866,0.3469388,16
11.0,0.006688963,0.0010018945,,0.23427665,0.03524539,0.12992844,0.01557355,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.16300257,0.03737411,0.076453574,0.011390608,0.4153846,0.27561837,0.24166141,0.31632653,18
11.0,0.006688963,0.0018079819,0.2910525,0.22537147,0.039287537,0.029979458,0.008491298,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.016722407,0.0014216059,0.19153242,0.21446544,0.035896033,0.092104964,0.009145307,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.21462233,0.035524614,0.09192029,0.009045132,0.47692305,0.32862192,0.37843508,0.29591838,21
6.0,0.0,0.0008730082,,0.13084075,0.040982593,0.112500414,0.0068256627,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.020066889,0.0012594173,0.29704836,0.15194637,0.03514143,0.08516616,0.009042337,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.006688963,0.001478834,0.20479956,0.13386458,0.039116748,0.10567996,0.0071877968,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.020066889,0.0013786613,0.27664956,0.14385751,0.037627634,0.09219048,0.0074932617,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.020066889,0.0011592219,0.26575592,0.21786447,0.041711546,0.0031680602,0.008497163,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.016722407,0.0019606224,0.33334097,0.23494065,0.041704442,0.025363607,0.009030169,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.21255186,0.040681764,0.055011798,0.008551901,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.020066889,0.000982652,,0.18974853,0.041459743,0.04323441,0.0069241063,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.1867594,0.041100796,0.03718597,0.007135195,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.2264718,0.0399711,0.07213842,0.008310546,0.5846154,0.30035338,0.34571007,0.37755102,31
11.0,0.006688963,0.0022182537,0.17437677,0.21541722,0.04078343,0.056836545,0.008104735,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.04347826,0.0026571623,,0.18313222,0.04179226,0.14232063,0.010258897,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.20288864,0.040041942,0.04217955,0.009162314,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.19384713,0.042305082,0.018468617,0.008903809,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.23839273,0.037901405,0.090023875,0.009004325,0.5846154,0.30035338,0.32892802,0.37755102,36
11.0,0.050167225,0.0031866136,,0.20415004,0.030235259,0.27468747,0.030747835,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.19889161,0.03886641,0.040957976,0.008898351,0.56923074,0.3074205,0.3566184,0.4489796,38
6.0,0.37444952,0.0063826274,,0.28076997,0.038873814,0.24155492,0.036050938,0.46153846,0.37102476,0.44220683,0.42857143,39
11.0,0.006688963,0.0009443921,,0.2604214,0.036179416,0.26706913,0.04055068,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.2527494,0.03841844,0.11399609,0.009330455,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.23014812,0.041488476,0.036872204,0.009841447,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.23254564,0.04398686,0.053333875,0.010107205,0.5846154,0.2862191,0.28508496,0.25510204,43
10.0,0.0033444816,0.0025235298,,0.3051618,0.045458157,0.20600069,0.026136696,0.44615385,0.33215547,0.40423748,0.5,44
6.0,0.05685619,0.0027809078,,0.30374745,0.04602881,0.2083027,0.02689784,0.44615385,0.32155478,0.38367948,0.52040815,45
6.0,0.37444952,0.0031580012,0.19138826,0.22182676,0.039804395,0.052290577,0.010497529,0.61538464,0.21554771,0.24543738,0.35714287,46
6.0,0.37444952,0.002857497,0.3485269,0.2217789,0.03923488,0.05154839,0.0106735425,0.6307692,0.22614843,0.26557583,0.3265306,47
6.0,0.37444952,0.0011592236,0.22665362,0.21988684,0.038534477,0.053464934,0.012455029,0.5846154,0.24381627,0.2771135,0.35714287,48
6.0,0.37444952,0.003992788,0.40904057,0.22674575,0.040372424,0.032716252,0.010749637,0.56923074,0.30388695,0.28739247,0.4387755,49
6.0,0.37444952,0.0043078847,0.25000092,0.22240621,0.03860444,0.06869674,0.011500922,0.5538461,0.22261485,0.24312985,0.36734694,50
6.0,0.37444952,0.003186657,0.32555473,0.21901919,0.03805289,0.03822817,0.011695929,0.6307692,0.22614843,0.25235996,0.3469388,51
6.0,0.37444952,0.0020179327,0.22358763,0.21838944,0.037569597,0.040833134,0.011973309,0.6307692,0.20494701,0.2674638,0.35714287,52
6.0,0.04347826,0.0019511131,0.2539516,0.21762782,0.03641322,0.057553463,0.011812173,0.5846154,0.22614843,0.2185861,0.36734694,53
6.0,0.02341137,0.0010303654,,0.33575678,0.054412283,0.13781656,0.029399712,0.47692305,0.23674911,0.24271029,0.42857143,54
6.0,0.4573402,0.0044935364,0.11276181,0.20354654,0.052952107,0.06766637,0.012785087,0.3846154,0.23674911,0.19802812,0.42857143,55
6.0,0.4280962,0.0038832857,0.2306502,0.23176049,0.053049546,0.1548207,0.010730487,0.44615385,0.16961132,0.12985106,0.40816328,56
6.0,0.43267047,0.004298199,0.21123612,0.22630444,0.057192888,0.08275597,0.014705962,0.43076926,0.17667845,0.11558632,0.42857143,57
11.0,0.42880422,0.0020992472,0.22961004,0.20399404,0.05130355,0.060669135,0.013656626,0.43076926,0.21201414,0.09901405,0.4387755,58
6.0,0.4497621,0.0027859716,0.23731159,0.22446527,0.03621665,0.040070355,0.01373182,0.56923074,0.19081274,0.20537026,0.40816328,59
6.0,0.4493664,0.005695921,0.43152267,0.24634092,0.038594883,0.0512555,0.01291088,0.56923074,0.20494701,0.24396895,0.41836736,60
6.0,0.053511705,0.0025472215,0.2005551,0.22654535,0.038891565,0.15581322,0.013640763,0.44615385,0.22261485,0.14201804,0.39795917,61
6.0,0.41859037,0.004770368,0.21454647,0.2450864,0.038476214,0.053224005,0.012714548,0.52307695,0.22261485,0.18334383,0.39795917,62
6.0,0.37444952,0.0022230782,0.21800773,0.21991505,0.038352996,0.048051998,0.012982422,0.56923074,0.21201414,0.23914412,0.46938777,63
6.0,0.37444952,0.005872332,,0.27724668,0.053275447,0.20270364,0.031828064,0.43076926,0.26148412,0.20411159,0.2857143,64
6.0,0.45956993,0.0070552365,0.2514483,0.24677117,0.048801035,0.112530515,0.014978283,0.39999998,0.21908127,0.13069016,0.42857143,65
6.0,0.43970907,0.0010543206,0.23358785,0.20482929,0.051880572,0.055801027,0.010484726,0.6,0.21554771,0.2032725,0.39795917,66
6.0,0.44828397,0.0023899674,0.27751315,0.23553286,0.032171067,0.046981137,0.015410702,0.53846157,0.20494701,0.1741137,0.39795917,67
6.0,0.44142708,0.0021038377,0.26864725,0.239073,0.032207027,0.05018309,0.014872051,0.50769234,0.29328623,0.2271869,0.46938777,68
11.0,0.016722407,0.0009731739,0.3305895,0.22048026,0.04229787,0.07723639,0.010021374,0.5846154,0.2402827,0.2804699,0.42857143,69
6.0,0.37444952,0.0023327656,0.33391958,0.24192908,0.033093452,0.055750646,0.013466395,0.50769234,0.28268552,0.2674638,0.47959185,70
6.0,0.42959008,0.0022135477,0.20374325,0.21918225,0.045425016,0.15106355,0.01224103,0.3846154,0.27561837,0.19697924,0.46938777,71
6.0,0.37444952,0.0019797813,0.16850986,0.21512082,0.042236175,0.057479043,0.012241365,0.5538461,0.20141342,0.19530103,0.41836736,72
6.0,0.37444952,0.0011592061,0.1615146,0.22490136,0.0495971,0.06469938,0.010761433,0.6,0.22968198,0.22823578,0.33673468,73
6.0,0.44175658,0.004321957,0.32415017,0.24439496,0.03594777,0.061794475,0.012703225,0.52307695,0.22261485,0.2066289,0.3877551,74
6.0,0.44830444,0.0013166523,,0.24247645,0.03126191,0.057894252,0.016279738,0.6,0.20848058,0.156073,0.40816328,75
6.0,0.44246885,0.0051422333,,0.27225286,0.03575721,0.07726993,0.013639883,0.50769234,0.24381627,0.20201384,0.31632653,76
6.0,0.37444952,0.0011878551,0.22794539,0.20053227,0.05533291,0.07443434,0.013558776,0.46153846,0.16961132,0.16488357,0.4387755,77
6.0,0.45172077,0.0037496502,0.24157763,0.2299477,0.037718806,0.07402972,0.011670048,0.56923074,0.22261485,0.20704845,0.39795917,78
6.0,0.4390888,0.0013882179,0.2172917,0.20447655,0.053476993,0.0724578,0.014548095,0.36923078,0.18727916,0.20495069,0.46938777,79
6.0,0.42909205,0.0022277911,0.20399436,0.25081158,0.02996858,0.077568844,0.014454769,0.49230766,0.22261485,0.17537235,0.36734694,80
11.0,0.013377926,0.0011592219,0.38472477,0.22897057,0.041604623,0.10158327,0.014904663,0.44615385,0.22614843,0.20725822,0.3877551,81
6.0,0.45815116,0.0063586417,0.25195363,0.26665193,0.035502717,0.090550214,0.013259553,0.46153846,0.20494701,0.16341515,0.29591838,82
6.0,0.42516977,0.002652313,0.157998,0.2107511,0.050760347,0.076043524,0.015986683,0.44615385,0.16961132,0.14621355,0.4387755,83
11.0,0.44312403,0.0017078073,0.24618158,0.22218971,0.041018765,0.07468858,0.013248796,0.46153846,0.18374558,0.23704636,0.35714287,84
6.0,0.43879128,0.0013690295,0.2528373,0.22308749,0.040356427,0.07556338,0.013228845,0.50769234,0.20141342,0.22362073,0.42857143,85
6.0,0.45854533,0.0016743408,0.22889562,0.21973735,0.04104131,0.0745072,0.012804166,0.52307695,0.1943463,0.19068597,0.3877551,86
11.0,0.020066889,0.0010303932,0.40218717,0.22744308,0.041442193,0.10194398,0.015145664,0.47692305,0.21201414,0.20201384,0.41836736,87
6.0,0.37444952,0.008648928,,0.33386907,0.04819345,0.088058084,0.015015666,0.44615385,0.32155478,0.3987833,0.30612245,88
