LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.19523993,0.021053296,0.078140646,0.01300937,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.013377926,0.00085870206,0.30975848,0.16377376,0.018981041,0.107172765,0.01173177,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.14556362,0.01787203,0.11157126,0.008303049,0.43076926,0.32508835,0.3312356,0.3469388,2
6.0,0.020066889,0.0017888807,0.16333644,0.19450912,0.03136381,0.10404361,0.008183215,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.1504048,0.029114965,0.110632196,0.010358737,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.033444814,0.0024854622,0.1951709,0.19648474,0.02825258,0.123964265,0.007290463,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.18734771,0.027883401,0.08608913,0.011466651,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.16716997,0.02811228,0.067295,0.011404476,0.46153846,0.29328623,0.3045941,0.2857143,7
10.0,0.0,0.0031104188,,0.22225195,0.045909375,0.07900474,0.0070893564,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.030100334,0.001836671,,0.17156278,0.015794283,0.22226253,0.016057897,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.16624591,0.021644402,0.11090927,0.0067941975,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.16502395,0.018959701,0.067568645,0.009623818,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.17581451,0.023430828,0.051104724,0.011237031,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.17649156,0.023446426,0.05277257,0.011665009,0.43076926,0.32508835,0.32892802,0.30612245,13
11.0,0.0,0.0010256612,0.16548376,0.18176651,0.026149683,0.057690717,0.013062301,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.23311228,0.030409044,0.14914984,0.013959285,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.18889853,0.030059544,0.055994216,0.013280757,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.026755853,0.0010018945,,0.25633395,0.044974376,0.11609649,0.015036018,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.17505348,0.033401515,0.06348623,0.010228987,0.4153846,0.27561837,0.24166141,0.31632653,18
6.0,0.026755853,0.0018079819,0.2910525,0.2295559,0.02873479,0.027038518,0.0088680815,0.53846157,0.3992933,0.4673799,0.35714287,19
6.0,0.016722407,0.0014216059,0.19153242,0.22005685,0.035691198,0.076164156,0.009239048,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.22278656,0.03550273,0.07559734,0.009304713,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.0,0.0008730082,,0.15552112,0.038593557,0.11178538,0.0071406793,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.0,0.0012594173,0.29704836,0.17237598,0.034294397,0.07945585,0.008711828,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.0,0.001478834,0.20479956,0.15601571,0.036656436,0.105835594,0.0071498696,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.0,0.0013786613,0.27664956,0.16410431,0.036030903,0.0917419,0.007612845,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.0,0.0011592219,0.26575592,0.22122785,0.029394407,0.002745586,0.008646014,0.5538461,0.3886926,0.46423325,0.46938777,26
6.0,0.016722407,0.0019606224,0.33334097,0.23228258,0.0279725,0.032110583,0.008691843,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.23027204,0.03469628,0.048599694,0.009643584,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.0033444816,0.000982652,,0.21410035,0.034560703,0.03459294,0.008704886,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.21274728,0.03360423,0.031217786,0.009014819,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.2397356,0.036777575,0.05226404,0.009134912,0.5846154,0.30035338,0.34571007,0.37755102,31
6.0,0.020066889,0.0022182537,0.17437677,0.23414798,0.03541723,0.041796442,0.00935946,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.02341137,0.0026571623,,0.21817586,0.04927381,0.12478182,0.011749678,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.22870702,0.031218596,0.03822244,0.011122324,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.21304682,0.027996274,0.040663037,0.009846654,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.25368702,0.035648577,0.06531227,0.010099863,0.5846154,0.30035338,0.32892802,0.37755102,36
11.0,0.030100334,0.0031866136,,0.22145538,0.017255876,0.26704425,0.030572798,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.22165573,0.03189167,0.03747472,0.010727938,0.56923074,0.3074205,0.3566184,0.4489796,38
6.0,0.37444952,0.0063826274,,0.28772515,0.023589535,0.22810374,0.0346027,0.46153846,0.37102476,0.44220683,0.42857143,39
6.0,0.0100334445,0.0009443921,,0.2705514,0.021227408,0.25909284,0.038949177,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.27017832,0.029425781,0.09703563,0.011143545,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.23576619,0.026029313,0.0554448,0.010865229,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.23833098,0.028252602,0.069396384,0.010763609,0.5846154,0.2862191,0.28508496,0.25510204,43
6.0,0.036789298,0.0025235298,,0.3035853,0.025695179,0.19361225,0.024441207,0.44615385,0.33215547,0.40423748,0.5,44
6.0,0.036789298,0.0027809078,,0.30235675,0.025835456,0.19552927,0.02522496,0.44615385,0.32155478,0.38367948,0.52040815,45
6.0,0.37444952,0.0031580012,0.19138826,0.23340301,0.02779718,0.07103517,0.011278561,0.61538464,0.21554771,0.24543738,0.35714287,46
6.0,0.37444952,0.002857497,0.3485269,0.23403789,0.027625708,0.070767924,0.011496737,0.6307692,0.22614843,0.26557583,0.3265306,47
6.0,0.37444952,0.0011592236,0.22665362,0.23871407,0.028700734,0.06899766,0.01363191,0.5846154,0.24381627,0.2771135,0.35714287,48
6.0,0.37444952,0.003992788,0.40904057,0.23035316,0.027355947,0.07094029,0.011218335,0.56923074,0.30388695,0.28739247,0.4387755,49
6.0,0.37444952,0.0043078847,0.25000092,0.2501501,0.03971887,0.05318501,0.012855122,0.5538461,0.22261485,0.24312985,0.36734694,50
6.0,0.37444952,0.003186657,0.32555473,0.22909893,0.027676815,0.068277225,0.012026157,0.6307692,0.22614843,0.25235996,0.3469388,51
6.0,0.37444952,0.0020179327,0.22358763,0.23109348,0.027857503,0.068116136,0.012545198,0.6307692,0.20494701,0.2674638,0.35714287,52
6.0,0.02341137,0.0019511131,0.2539516,0.24500157,0.037456237,0.046066638,0.012838644,0.5846154,0.22614843,0.2185861,0.36734694,53
6.0,0.0033444816,0.0010303654,,0.37337768,0.06399966,0.13344187,0.03242266,0.47692305,0.23674911,0.24271029,0.42857143,54
6.0,0.4573402,0.0044935364,0.11276181,0.22099015,0.050688177,0.06714689,0.011360411,0.3846154,0.23674911,0.19802812,0.42857143,55
6.0,0.4280962,0.0038832857,0.2306502,0.2560333,0.05186113,0.1266495,0.010987622,0.44615385,0.16961132,0.12985106,0.40816328,56
6.0,0.43267047,0.004298199,0.21123612,0.24749036,0.054221407,0.07003422,0.013982755,0.43076926,0.17667845,0.11558632,0.42857143,57
11.0,0.42880422,0.0020992472,0.22961004,0.22085093,0.049845017,0.067304194,0.011747981,0.43076926,0.21201414,0.09901405,0.4387755,58
6.0,0.4497621,0.0027859716,0.23731159,0.23415972,0.02862138,0.07792547,0.013840874,0.56923074,0.19081274,0.20537026,0.40816328,59
6.0,0.4493664,0.005695921,0.43152267,0.25008106,0.02873899,0.08683047,0.01377153,0.56923074,0.20494701,0.24396895,0.41836736,60
6.0,0.033444814,0.0025472215,0.2005551,0.25178286,0.044435468,0.1410624,0.0143772075,0.44615385,0.22261485,0.14201804,0.39795917,61
6.0,0.41859037,0.004770368,0.21454647,0.24781017,0.028956465,0.09155489,0.013369887,0.52307695,0.22261485,0.18334383,0.39795917,62
6.0,0.37444952,0.0022230782,0.21800773,0.23117128,0.029627547,0.079281725,0.01342292,0.56923074,0.21201414,0.23914412,0.46938777,63
6.0,0.37444952,0.005872332,,0.29072204,0.0525821,0.20033205,0.030260615,0.43076926,0.26148412,0.20411159,0.2857143,64
6.0,0.45956993,0.0070552365,0.2514483,0.27023283,0.05041896,0.09420493,0.01480692,0.39999998,0.21908127,0.13069016,0.42857143,65
6.0,0.43970907,0.0010543206,0.23358785,0.23197187,0.039242756,0.053512197,0.012551299,0.6,0.21554771,0.2032725,0.39795917,66
6.0,0.44828397,0.0023899674,0.27751315,0.24201037,0.027951773,0.09233686,0.015002718,0.53846157,0.20494701,0.1741137,0.39795917,67
6.0,0.44142708,0.0021038377,0.26864725,0.24345538,0.0273832,0.09673429,0.014418787,0.50769234,0.29328623,0.2271869,0.46938777,68
6.0,0.0033444816,0.0009731739,0.3305895,0.24905875,0.037649,0.06520614,0.012153908,0.5846154,0.2402827,0.2804699,0.42857143,69
6.0,0.37444952,0.0023327656,0.33391958,0.24453607,0.027120639,0.10167035,0.013329467,0.50769234,0.28268552,0.2674638,0.47959185,70
6.0,0.42959008,0.0022135477,0.20374325,0.24359399,0.04831349,0.1324584,0.012483349,0.3846154,0.27561837,0.19697924,0.46938777,71
6.0,0.37444952,0.0019797813,0.16850986,0.23160943,0.032463394,0.07177908,0.012929685,0.5538461,0.20141342,0.19530103,0.41836736,72
6.0,0.37444952,0.0011592061,0.1615146,0.24298525,0.040131927,0.05783539,0.011770409,0.6,0.22968198,0.22823578,0.33673468,73
