LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.18545787,0.022937851,0.088006884,0.012476987,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.02341137,0.00085870206,0.30975848,0.15325743,0.01650445,0.12567776,0.012594693,0.47692305,0.37102476,0.45605204,0.2857143,1
11.0,,0.0010876772,0.20237766,0.13867502,0.0132113155,0.13057368,0.008493603,0.43076926,0.32508835,0.3312356,0.3469388,2
6.0,0.030100334,0.0017888807,0.16333644,0.16786054,0.032366887,0.115052074,0.0063160206,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.1433006,0.029354049,0.12386563,0.010970494,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.04347826,0.0024854622,0.1951709,0.17359355,0.026950821,0.14305772,0.006611538,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.17255609,0.028809037,0.11368104,0.011803883,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.16536292,0.028956402,0.088546075,0.012656157,0.46153846,0.29328623,0.3045941,0.2857143,7
11.0,0.0100334445,0.0031104188,,0.18830307,0.04231729,0.0902079,0.0059725526,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.040133778,0.001836671,,0.16271418,0.021434978,0.22836122,0.01557338,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.16435044,0.018290242,0.13330859,0.008452566,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.17332561,0.016122252,0.0923719,0.011796236,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.1884732,0.02344518,0.07898205,0.013409488,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.19006841,0.024314048,0.078063235,0.014116045,0.43076926,0.32508835,0.32892802,0.30612245,13
6.0,0.0033444816,0.0010256612,0.16548376,0.19442585,0.027639756,0.0779938,0.015780084,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.2140023,0.02114972,0.19103847,0.013701403,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.19274645,0.029082654,0.07749268,0.014913365,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.036789298,0.0010018945,,0.23626505,0.032850705,0.1668504,0.015235185,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.1760482,0.03438687,0.08527352,0.010726315,0.4153846,0.27561837,0.24166141,0.31632653,18
6.0,0.0,0.0018079819,0.2910525,0.21901198,0.031482786,0.00673478,0.007218804,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.006688963,0.0014216059,0.19153242,0.21049394,0.03296046,0.08450272,0.008732968,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.20996259,0.032365125,0.085206814,0.008607517,0.47692305,0.32862192,0.37843508,0.29591838,21
6.0,0.0033444816,0.0008730082,,0.14400245,0.031029351,0.13308384,0.00712867,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.0100334445,0.0012594173,0.29704836,0.16606934,0.030840954,0.09953296,0.009169716,0.43076926,0.2720848,0.24942312,0.31632653,23
6.0,0.0033444816,0.001478834,0.20479956,0.14647993,0.030008892,0.1270156,0.0072859637,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.0100334445,0.0013786613,0.27664956,0.15709291,0.030959178,0.11047418,0.0075542703,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.0100334445,0.0011592219,0.26575592,0.21679011,0.031389665,0.010889625,0.007905,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.006688963,0.0019606224,0.33334097,0.22534253,0.031092882,0.032317482,0.007909931,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.20432979,0.028245596,0.06741069,0.00767782,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.0100334445,0.000982652,,0.1979369,0.027748452,0.05266063,0.008166834,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.19584888,0.027267618,0.04805663,0.008298201,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.22605285,0.029019348,0.076566614,0.008162949,0.5846154,0.30035338,0.34571007,0.37755102,31
6.0,0.030100334,0.0022182537,0.17437677,0.22002959,0.028395146,0.063571945,0.008503633,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.033444814,0.0026571623,,0.19731368,0.031221902,0.1719679,0.010776271,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.2061537,0.026768584,0.05962494,0.009768675,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.20860112,0.028698139,0.040609654,0.009643051,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.23752025,0.028017536,0.09339215,0.00855021,0.5846154,0.30035338,0.32892802,0.37755102,36
11.0,0.040133778,0.0031866136,,0.2139215,0.04901561,0.25579947,0.02853663,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.21411343,0.026150487,0.051432613,0.0102398945,0.56923074,0.3074205,0.3566184,0.4489796,38
6.0,0.37444952,0.0063826274,,0.28785408,0.07103195,0.21752135,0.033997707,0.46153846,0.37102476,0.44220683,0.42857143,39
6.0,0.0033444816,0.0009443921,,0.26705256,0.067177184,0.2437067,0.037487067,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.2559533,0.0358993,0.0987232,0.009898961,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.23096243,0.030608473,0.032704636,0.011253852,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.2330024,0.032715462,0.046840172,0.010603208,0.5846154,0.2862191,0.28508496,0.25510204,43
6.0,0.04682274,0.0025235298,,0.30634242,0.079141535,0.18113905,0.02356956,0.44615385,0.33215547,0.40423748,0.5,44
6.0,0.04682274,0.0027809078,,0.3053429,0.079681,0.1825219,0.02419,0.44615385,0.32155478,0.38367948,0.52040815,45
6.0,0.37444952,0.0031580012,0.19138826,0.22703984,0.033772867,0.05694226,0.011303525,0.61538464,0.21554771,0.24543738,0.35714287,46
6.0,0.37444952,0.002857497,0.3485269,0.22740978,0.033603694,0.05766826,0.011465431,0.6307692,0.22614843,0.26557583,0.3265306,47
6.0,0.37444952,0.0011592236,0.22665362,0.22790727,0.033700794,0.064015865,0.013151342,0.5846154,0.24381627,0.2771135,0.35714287,48
6.0,0.37444952,0.003992788,0.40904057,0.22763772,0.028928379,0.04443146,0.012378486,0.56923074,0.30388695,0.28739247,0.4387755,49
