LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.21442538,0.020550359,0.11569864,0.015869364,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.036789298,0.00085870206,0.30975848,0.1773562,0.015509703,0.14875278,0.014836448,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.16173817,0.0135291,0.15470877,0.010301454,0.43076926,0.32508835,0.3312356,0.3469388,2
6.0,0.0,0.0017888807,0.16333644,0.20619443,0.031430047,0.13529462,0.00879862,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.1616522,0.032280356,0.14700267,0.010657054,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.05685619,0.0024854622,0.1951709,0.2094912,0.029396016,0.16205503,0.007936211,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.20781916,0.03314912,0.13978612,0.012929759,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.1855451,0.031471398,0.117276885,0.013033514,0.46153846,0.29328623,0.3045941,0.2857143,7
11.0,0.02341137,0.0031104188,,0.22367258,0.040550373,0.114248276,0.0066583464,0.46153846,0.41342756,0.39941263,0.3265306,8
10.0,0.053511705,0.001836671,,0.18550386,0.022650171,0.21198115,0.017096238,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.17788532,0.020903355,0.16073364,0.008651604,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.18510549,0.01703327,0.12350067,0.013377776,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.20983282,0.024195995,0.10630856,0.014281167,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.21083331,0.024748433,0.109024554,0.0150135625,0.43076926,0.32508835,0.32892802,0.30612245,13
11.0,0.0033444816,0.0010256612,0.16548376,0.21493973,0.028462254,0.11470451,0.017148001,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.24541184,0.018027972,0.22590221,0.01799165,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.2101674,0.033896692,0.11855158,0.01634396,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.0,0.0010018945,,0.26615927,0.0305957,0.19240743,0.02013973,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.19876206,0.034724634,0.118323125,0.012459616,0.4153846,0.27561837,0.24166141,0.31632653,18
11.0,0.0100334445,0.0018079819,0.2910525,0.22838822,0.029564464,0.03290529,0.007625571,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.020066889,0.0014216059,0.19153242,0.23846148,0.032238863,0.11372265,0.010162718,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.23914075,0.031366758,0.11369125,0.010110143,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.0033444816,0.0008730082,,0.16888858,0.037940215,0.15720081,0.007978242,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.02341137,0.0012594173,0.29704836,0.18363926,0.03184783,0.13630229,0.010210067,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.0100334445,0.001478834,0.20479956,0.17056803,0.035918966,0.15197627,0.008301332,0.44615385,0.25795054,0.22383049,0.3469388,24
