LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.18454479,0.020584697,0.0830661,0.01429675,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.026755853,0.00085870206,0.30975848,0.1218923,0.015167107,0.12799297,0.009909065,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.11096316,0.014003283,0.13660179,0.0066031017,0.43076926,0.32508835,0.3312356,0.3469388,2
10.0,0.0,0.0017888807,0.16333644,0.183047,0.03314154,0.11649646,0.0074629704,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.119184546,0.032978747,0.13386783,0.008392861,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.04682274,0.0024854622,0.1951709,0.1827606,0.027864415,0.14079799,0.006274616,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.17001788,0.030548047,0.113673404,0.010740955,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.14536107,0.031798627,0.09736173,0.010329761,0.46153846,0.29328623,0.3045941,0.2857143,7
10.0,0.013377926,0.0031104188,,0.20571601,0.050254557,0.097581334,0.0057249614,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.04347826,0.001836671,,0.14777704,0.015554675,0.2385995,0.014908331,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.14993654,0.019229397,0.13744935,0.0064320965,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.15325077,0.015196832,0.1013688,0.009979129,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.17448153,0.022938656,0.082215466,0.011866803,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.17470257,0.0234673,0.08336021,0.012081682,0.43076926,0.32508835,0.32892802,0.30612245,13
11.0,0.0,0.0010256612,0.16548376,0.17494945,0.026930068,0.0855686,0.012756843,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.21276276,0.032334976,0.16658838,0.012304333,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.16871454,0.03211496,0.085014254,0.011075986,0.4153846,0.2650177,0.18816866,0.3469388,16
11.0,0.0,0.0010018945,,0.2320206,0.045137323,0.14209056,0.013652035,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.15340863,0.03745773,0.08744034,0.008305591,0.4153846,0.27561837,0.24166141,0.31632653,18
11.0,0.0033444816,0.0018079819,0.2910525,0.22608164,0.034425624,0.022909671,0.007938605,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.0100334445,0.0014216059,0.19153242,0.21515693,0.03731049,0.079177916,0.007613652,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.2158343,0.03667342,0.07892754,0.0075474945,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.0,0.0008730082,,0.13142997,0.034261253,0.12294612,0.005986217,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.013377926,0.0012594173,0.29704836,0.14706767,0.03779784,0.09461038,0.006757311,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.0,0.001478834,0.20479956,0.1336041,0.033452053,0.11740048,0.006240713,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.013377926,0.0013786613,0.27664956,0.1433173,0.036939025,0.10006836,0.0065470883,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.013377926,0.0011592219,0.26575592,0.21880268,0.035880856,0.00932493,0.008071816,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.0100334445,0.0019606224,0.33334097,0.23030926,0.034950946,0.037311573,0.00821682,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.22517778,0.038229983,0.047754053,0.008536321,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.013377926,0.000982652,,0.20553738,0.03662862,0.03728926,0.007243025,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.2033992,0.036301814,0.032313976,0.007510466,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.23469624,0.037059523,0.069213584,0.008143249,0.5846154,0.30035338,0.34571007,0.37755102,31
11.0,0.0,0.0022182537,0.17437677,0.22594336,0.037282627,0.05507282,0.007965567,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.036789298,0.0026571623,,0.20024717,0.04146493,0.15741612,0.010346613,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.22055046,0.036678657,0.04226494,0.009403361,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.20911968,0.02731936,0.044696677,0.009469955,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.24549213,0.035068583,0.089325145,0.008750109,0.5846154,0.30035338,0.32892802,0.37755102,36
11.0,0.04347826,0.0031866136,,0.21048437,0.036819518,0.27080226,0.02743267,0.4153846,0.33922264,0.45877913,0.4489796,37
