LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.18624194,0.018389812,0.08942561,0.011654367,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.016722407,0.00085870206,0.30975848,0.14379154,0.011710296,0.12459196,0.010014334,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.12832865,0.01012913,0.13130689,0.0075048846,0.43076926,0.32508835,0.3312356,0.3469388,2
6.0,0.02341137,0.0017888807,0.16333644,0.17963046,0.025689878,0.13452984,0.006315035,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.11784481,0.02139467,0.13903826,0.007270019,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.036789298,0.0024854622,0.1951709,0.1858801,0.022517502,0.16087931,0.006097475,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.16016859,0.021087894,0.13676572,0.008718017,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.13462207,0.02095387,0.11044175,0.008172525,0.46153846,0.29328623,0.3045941,0.2857143,7
11.0,0.0033444816,0.0031104188,,0.19430739,0.032652173,0.11813573,0.0056815925,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.033444814,0.001836671,,0.17574288,0.021061152,0.2310973,0.016251126,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.1586165,0.015642313,0.1556558,0.00621826,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.15475145,0.0135892285,0.119935125,0.008415533,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.15182973,0.017404038,0.105572924,0.009086821,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.15320843,0.017064676,0.10418749,0.0095194625,0.43076926,0.32508835,0.32892802,0.30612245,13
11.0,0.0033444816,0.0010256612,0.16548376,0.16285484,0.01789811,0.097336605,0.01123008,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.21019734,0.020633481,0.18049298,0.012614786,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.16997866,0.019003257,0.08517801,0.011133403,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.030100334,0.0010018945,,0.2339538,0.027292982,0.15115975,0.01368764,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.15258285,0.023218472,0.084871165,0.007882626,0.4153846,0.27561837,0.24166141,0.31632653,18
11.0,0.0,0.0018079819,0.2910525,0.23246442,0.024390304,0.048602097,0.008759539,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.0,0.0014216059,0.19153242,0.19854094,0.02009321,0.108438954,0.007517952,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.1992999,0.019717198,0.10809555,0.007510539,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.0033444816,0.0008730082,,0.12630141,0.01972135,0.13427806,0.005296799,0.43076926,0.26148412,0.20285293,0.36734694,22
11.0,0.0033444816,0.0012594173,0.29704836,0.14329824,0.020533869,0.10296391,0.00636462,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.0033444816,0.001478834,0.20479956,0.12838161,0.01906485,0.12957346,0.0055389153,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.0033444816,0.0013786613,0.27664956,0.1388618,0.019736107,0.11481695,0.006242591,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.0033444816,0.0011592219,0.26575592,0.23439111,0.026469601,0.025359994,0.009528472,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.0,0.0019606224,0.33334097,0.2462624,0.027690753,0.058165193,0.009645691,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.20574278,0.022730049,0.07899417,0.0073484266,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.0033444816,0.000982652,,0.19600065,0.023428317,0.06470016,0.006692548,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.19347472,0.0229147,0.058659375,0.006798547,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.22925717,0.025511283,0.09412144,0.00837377,0.5846154,0.30035338,0.34571007,0.37755102,31
6.0,0.02341137,0.0022182537,0.17437677,0.21982527,0.025109474,0.07843469,0.008206415,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.026755853,0.0026571623,,0.19046305,0.027076483,0.16170979,0.00911694,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.20604163,0.021481244,0.06629746,0.008570093,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.21619174,0.01999461,0.072864234,0.009468634,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.24683802,0.025071882,0.11225161,0.009442017,0.5846154,0.30035338,0.32892802,0.37755102,36
11.0,0.033444814,0.0031866136,,0.22451854,0.05304676,0.2669868,0.029304272,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.22101317,0.021029236,0.08228885,0.010021444,0.56923074,0.3074205,0.3566184,0.4489796,38
6.0,0.37444952,0.0063826274,,0.30435193,0.073195666,0.22043619,0.034981493,0.46153846,0.37102476,0.44220683,0.42857143,39
11.0,0.0,0.0009443921,,0.28240344,0.068431556,0.25377625,0.03811378,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.27330077,0.02430768,0.13214211,0.010715674,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.24936105,0.025093867,0.08740471,0.0119817145,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.2496474,0.025569277,0.09744867,0.011324618,0.5846154,0.2862191,0.28508496,0.25510204,43
6.0,0.040133778,0.0025235298,,0.326031,0.076781474,0.1741249,0.026009023,0.44615385,0.33215547,0.40423748,0.5,44
6.0,0.040133778,0.0027809078,,0.32516268,0.07726196,0.17532265,0.026772793,0.44615385,0.32155478,0.38367948,0.52040815,45
6.0,0.37444952,0.0031580012,0.19138826,0.2414682,0.021824077,0.09181962,0.011575798,0.61538464,0.21554771,0.24543738,0.35714287,46
6.0,0.37444952,0.002857497,0.3485269,0.24210228,0.021403277,0.09095114,0.01181787,0.6307692,0.22614843,0.26557583,0.3265306,47
6.0,0.37444952,0.0011592236,0.22665362,0.24625005,0.019529639,0.089099154,0.01404947,0.5846154,0.24381627,0.2771135,0.35714287,48
6.0,0.37444952,0.003992788,0.40904057,0.2439694,0.0216856,0.092335485,0.013301299,0.56923074,0.30388695,0.28739247,0.4387755,49
6.0,0.37444952,0.0043078847,0.25000092,0.23279439,0.024358211,0.098038495,0.010980741,0.5538461,0.22261485,0.24312985,0.36734694,50
6.0,0.37444952,0.003186657,0.32555473,0.23744461,0.02024316,0.08603288,0.012775215,0.6307692,0.22614843,0.25235996,0.3469388,51
6.0,0.37444952,0.0020179327,0.22358763,0.23924139,0.019384831,0.08655978,0.013307628,0.6307692,0.20494701,0.2674638,0.35714287,52
6.0,0.026755853,0.0019511131,0.2539516,0.22876295,0.023152137,0.0894075,0.011176137,0.5846154,0.22614843,0.2185861,0.36734694,53
6.0,0.006688963,0.0010303654,,0.35063502,0.046100646,0.12975104,0.028029632,0.47692305,0.23674911,0.24271029,0.42857143,54
6.0,0.4573402,0.0044935364,0.11276181,0.19693753,0.027680155,0.12856327,0.011364066,0.3846154,0.23674911,0.19802812,0.42857143,55
6.0,0.4280962,0.0038832857,0.2306502,0.23177473,0.028312782,0.17624104,0.010259196,0.44615385,0.16961132,0.12985106,0.40816328,56
6.0,0.43267047,0.004298199,0.21123612,0.22216764,0.02882153,0.13507944,0.013911455,0.43076926,0.17667845,0.11558632,0.42857143,57
11.0,0.42880422,0.0020992472,0.22961004,0.19530174,0.027257372,0.12705635,0.011725826,0.43076926,0.21201414,0.09901405,0.4387755,58
6.0,0.4497621,0.0027859716,0.23731159,0.24132995,0.019232914,0.09477976,0.014910033,0.56923074,0.19081274,0.20537026,0.40816328,59
6.0,0.4493664,0.005695921,0.43152267,0.26814935,0.021920908,0.11047424,0.017058518,0.56923074,0.20494701,0.24396895,0.41836736,60
6.0,0.036789298,0.0025472215,0.2005551,0.22053035,0.027172182,0.17689341,0.012114663,0.44615385,0.22261485,0.14201804,0.39795917,61
6.0,0.41859037,0.004770368,0.21454647,0.26623374,0.02193009,0.11232706,0.01673671,0.52307695,0.22261485,0.18334383,0.39795917,62
6.0,0.37444952,0.0022230782,0.21800773,0.23830707,0.01870528,0.10165636,0.014611304,0.56923074,0.21201414,0.23914412,0.46938777,63
6.0,0.37444952,0.005872332,,0.2679114,0.043909125,0.19415033,0.026488518,0.43076926,0.26148412,0.20411159,0.2857143,64
6.0,0.45956993,0.0070552365,0.2514483,0.2410971,0.026936509,0.14060077,0.013287852,0.39999998,0.21908127,0.13069016,0.42857143,65
6.0,0.43970907,0.0010543206,0.23358785,0.23533386,0.023369191,0.10024674,0.012636145,0.6,0.21554771,0.2032725,0.39795917,66
6.0,0.44828397,0.0023899674,0.27751315,0.24977857,0.020680048,0.10036531,0.016140478,0.53846157,0.20494701,0.1741137,0.39795917,67
