LC,year_since_disturb,agb,twi,temp,prec,srad,vapr,PH,N,SOC,Sand,Site
6.0,0.37444952,0.0023900932,0.18517086,0.20393924,0.022490874,0.096081704,0.01313544,0.47692305,0.35689047,0.39836374,0.30612245,0
11.0,0.0033444816,0.00085870206,0.30975848,0.164623,0.019022942,0.121236004,0.010362312,0.47692305,0.37102476,0.45605204,0.2857143,1
10.0,,0.0010876772,0.20237766,0.15031108,0.018031834,0.12235713,0.007621312,0.43076926,0.32508835,0.3312356,0.3469388,2
6.0,0.006688963,0.0017888807,0.16333644,0.19030681,0.030990036,0.1032809,0.006759337,0.47692305,0.32862192,0.3446612,0.29591838,3
6.0,0.37444952,0.0047945697,0.2046937,0.15272038,0.030290293,0.11441949,0.009071031,0.44615385,0.25795054,0.2582337,0.2755102,4
6.0,0.06354515,0.0024854622,0.1951709,0.19667591,0.027947403,0.1252925,0.006081306,0.49230766,0.32508835,0.3354311,0.2755102,5
6.0,0.37444952,0.0033775314,0.33463982,0.18749838,0.029445214,0.1059684,0.0097085945,0.44615385,0.30388695,0.28655338,0.30612245,6
6.0,0.37444952,0.0040212707,0.13746002,0.1700132,0.03016792,0.08504611,0.009727283,0.46153846,0.29328623,0.3045941,0.2857143,7
6.0,0.0033444816,0.0031104188,,0.21917202,0.03916381,0.08276776,0.0060495352,0.46153846,0.41342756,0.39941263,0.3265306,8
11.0,0.06020067,0.001836671,,0.16482882,0.020800391,0.19742203,0.0137091875,0.46153846,0.43109542,0.48416194,0.35714287,9
6.0,0.37444952,0.0025331373,0.3092694,0.17276074,0.020500755,0.12324067,0.0061447085,0.47692305,0.24381627,0.25928256,0.2755102,10
6.0,0.37444952,0.0012164062,0.20957547,0.17587587,0.018188503,0.09096178,0.008890852,0.47692305,0.3074205,0.27207887,0.2755102,11
6.0,0.37444952,0.0037115668,0.19531585,0.19457549,0.02382482,0.07963254,0.010589667,0.44615385,0.30035338,0.31004825,0.2755102,12
6.0,0.37444952,0.0022756406,0.22055766,0.1960005,0.02384565,0.080966406,0.011072876,0.43076926,0.32508835,0.32892802,0.30612245,13
11.0,0.006688963,0.0010256612,0.16548376,0.2023752,0.024392063,0.08434065,0.013043645,0.43076926,0.27561837,0.21921544,0.29591838,14
6.0,0.37444952,0.0011210319,,0.23559706,0.024260022,0.15839261,0.013282966,0.56923074,0.2508834,0.23012376,0.2857143,15
6.0,0.37444952,0.0012117808,0.1492819,0.20314513,0.02670771,0.08320412,0.012771213,0.4153846,0.2650177,0.18816866,0.3469388,16
6.0,0.006688963,0.0010018945,,0.25302917,0.03472874,0.12795159,0.012844268,0.53846157,0.2508834,0.20704845,0.33673468,17
6.0,0.37444952,0.0022661434,0.14113131,0.18564758,0.030052317,0.08204294,0.009460804,0.4153846,0.27561837,0.24166141,0.31632653,18
6.0,0.0033444816,0.0018079819,0.2910525,0.23477641,0.023157876,0.018343307,0.0077956324,0.53846157,0.3992933,0.4673799,0.35714287,19
11.0,0.026755853,0.0014216059,0.19153242,0.23103268,0.029117277,0.08777414,0.008531181,0.46153846,0.29681978,0.33606043,0.29591838,20
11.0,,0.0007728146,0.20352016,0.2317673,0.028433628,0.088394165,0.008466241,0.47692305,0.32862192,0.37843508,0.29591838,21
11.0,0.006688963,0.0008730082,,0.15972947,0.031664576,0.1193782,0.0062743975,0.43076926,0.26148412,0.20285293,0.36734694,22
6.0,0.0033444816,0.0012594173,0.29704836,0.17650338,0.029447867,0.09838898,0.008083428,0.43076926,0.2720848,0.24942312,0.31632653,23
11.0,0.016722407,0.001478834,0.20479956,0.16134675,0.030595958,0.11483443,0.0064788843,0.44615385,0.25795054,0.22383049,0.3469388,24
11.0,0.030100334,0.0013786613,0.27664956,0.16872051,0.030365108,0.10463697,0.006944252,0.4153846,0.27915195,0.22278161,0.36734694,25
11.0,0.030100334,0.0011592219,0.26575592,0.22761104,0.023796087,0.00968638,0.007837113,0.5538461,0.3886926,0.46423325,0.46938777,26
11.0,0.026755853,0.0019606224,0.33334097,0.2412556,0.024474496,0.0372856,0.007704241,0.53846157,0.37455833,0.4543738,0.46938777,27
6.0,0.37444952,0.00400689,0.24230893,0.232513,0.02713258,0.06587928,0.008433302,0.53846157,0.2862191,0.3274596,0.35714287,28
11.0,0.030100334,0.000982652,,0.21400735,0.02579559,0.05127738,0.007540683,0.5538461,0.27561837,0.30018878,0.36734694,29
6.0,0.37444952,0.0041120527,0.20155938,0.21130213,0.025376773,0.046807453,0.0078111785,0.52307695,0.28975266,0.35871616,0.31632653,30
6.0,0.37444952,0.004632243,0.19984184,0.24630365,0.026937323,0.07437296,0.008222255,0.5846154,0.30035338,0.34571007,0.37755102,31
11.0,0.016722407,0.0022182537,0.17437677,0.23692407,0.026206322,0.06181433,0.008261758,0.6,0.30035338,0.30144745,0.3469388,32
6.0,0.053511705,0.0026571623,,0.21843098,0.032599185,0.1566177,0.010817573,0.47692305,0.24734983,0.15984896,0.37755102,33
6.0,0.37444952,0.0020894005,0.26299244,0.22772303,0.02461345,0.05908172,0.0095322095,0.53846157,0.27561837,0.27249843,0.3877551,34
6.0,0.37444952,0.0016457809,0.28760326,0.21602139,0.022564571,0.052239645,0.008541698,0.53846157,0.2862191,0.31298512,0.40816328,35
6.0,0.37444952,0.0047562695,0.26803482,0.25582987,0.025776235,0.09318977,0.008179909,0.5846154,0.30035338,0.32892802,0.37755102,36
10.0,0.06020067,0.0031866136,,0.22591007,0.038524233,0.23790881,0.02665289,0.4153846,0.33922264,0.45877913,0.4489796,37
6.0,0.37444952,0.0025473,0.21399061,0.2234369,0.021696556,0.055767164,0.008765304,0.56923074,0.3074205,0.3566184,0.4489796,38
6.0,0.37444952,0.0063826274,,0.29796314,0.048619132,0.19390307,0.0309161,0.46153846,0.37102476,0.44220683,0.42857143,39
11.0,0.016722407,0.0009443921,,0.2806349,0.045561768,0.22324798,0.033723153,0.43076926,0.33568907,0.4443046,0.5,40
6.0,0.37444952,0.003258186,0.18268904,0.26997787,0.024763802,0.119328775,0.008347899,0.6,0.24381627,0.23180197,0.35714287,41
6.0,0.37444952,0.0021706223,0.18045025,0.25140738,0.029880797,0.056601796,0.010278595,0.5538461,0.23321556,0.2641074,0.3265306,42
6.0,0.37444952,0.004751625,0.41642597,0.2530396,0.03226341,0.07007011,0.010099017,0.5846154,0.2862191,0.28508496,0.25510204,43
6.0,0.0,0.0025235298,,0.31831074,0.054753114,0.16544686,0.024682986,0.44615385,0.33215547,0.40423748,0.5,44
