"Site","Prediction"
1,2.32636
2,1.6266
3,2.801356
4,1.292064
5,1.794448
6,1.126784
7,2.9281
8,2.911688
9,1.219444
10,0.942724
11,1.664844
12,5.182244
13,7.842596
14,3.344808
15,2.910072
16,1.202828
17,6.823424
18,4.998948
19,2.1265
20,1.591564
21,2.1077
22,4.780472
23,2.91696
24,4.948388
25,4.390672
26,4.533572
27,1.77052
28,1.802772
29,2.030692
30,3.722596
31,1.969132
32,1.727244
33,1.830672
34,1.794184
35,2.202332
36,1.736512
37,1.658236
38,1.375656
39,1.920352
40,2.771052
41,1.852876
42,1.484416
43,2.400436
44,2.675852
45,1.598504
46,1.714188
47,2.282176
48,2.466372
49,2.361528
50,2.502588
51,2.271968
52,2.479464
53,2.520128
54,1.94776
55,2.350808
56,2.38958
57,1.499908
58,2.561372
59,2.578764
60,2.613412
61,2.628836
62,5.416292
63,3.573604
64,2.762768
65,2.528896
66,3.126
67,1.738576
68,2.555708
69,3.198548
70,5.868876
71,2.705544
72,1.843828
73,2.389716
74,1.91716
75,3.545296
76,2.59884
77,1.446484
78,7.250452
79,2.100464
80,6.970484
81,2.899116
82,7.208116
83,2.267908
84,3.276392
85,6.24498
86,6.817348
87,2.186596
88,7.683656
89,2.578384
90,2.206112
91,2.836156
92,1.988248
93,1.801056
94,1.20438
95,1.490928
96,2.115448
97,0.985916
98,2.38296
99,2.144264
100,2.662352
101,2.029608
102,8.481188
103,2.801556
104,2.60348
105,2.703196
106,8.438404
107,4.442812
108,1.982316
109,1.889856
110,5.14582
111,2.820276
112,1.933172
113,6.811856
114,2.388272
115,2.903156
116,0.422144
117,2.471428
118,4.085944
119,2.019208
120,3.429408
121,3.309052
122,2.097472
123,2.300444
124,3.552968
125,1.817376
126,2.499816
127,2.1201
128,1.723304
129,2.10744
130,4.120128
131,2.66856
132,1.972304
133,1.982152
134,2.120728
135,1.86302
136,4.036192
137,1.9547
138,2.716072
139,3.119928
140,3.826552
141,3.993924
142,2.77404
143,2.552396
144,0.903996
145,1.986312
146,0.71934
147,2.856328
148,2.691924
149,2.048576
150,2.039976
151,2.185068
152,1.623768
153,2.234524
154,5.13602
155,2.877284
156,2.50072
157,2.546592
158,7.328296
159,1.174288
160,3.784196
161,7.299744
162,4.301404
163,2.05534
164,2.521636
165,2.717728
166,4.975008
167,4.74172
168,2.314392
169,5.849436
170,4.35066
171,3.329032
